Region;English 2019;English 2020
Вінницька область;144.3652300949598247;146.3563603164942179
Волинська область;149.4352064220183486;148.6813725490196078
Дніпропетровська область;143.7916607371566814;145.2105078809106830
Донецька область;139.4259187620889749;140.2156992084432718
Житомирська область;143.7992565055762082;144.3985294117647059
Закарпатська область;144.6441573693482090;145.8453220498354490
Запорізька область;146.1458837772397094;148.0640532026601330
Івано-Франківська область;147.2926596758817922;150.8068388504910877
Київська область;143.1352530541012216;145.7877586966094232
Кіровоградська область;148.1627634660421546;148.7244934233913971
Луганська область;139.0046168051708218;140.2091648189209165
Львівська область;149.7429406037000974;151.7736708182670416
м.Київ;156.4573229209480751;155.6756207674943567
Миколаївська область;139.8264984227129338;141.4553464156988386
Одеська область;143.3498598458304135;144.3178651242276850
Полтавська область;147.0513536142897014;147.4994293540287606
Рівненська область;144.3965707964601770;147.5298276623950508
Сумська область;143.2535519125683060;145.5098795180722892
Тернопільська область;146.7382744643891141;149.8780487804878049
Харківська область;149.2239055230824287;150.1642574348586686
Херсонська область;138.7633726201269266;140.1469648562300319
Хмельницька область;145.6181653863533665;146.0536370315944159
Черкаська область;143.9897460937500000;146.9127516778523490
Чернівецька область;144.6700680272108844;144.3374384236453202
Чернігівська область;146.7104639349813749;149.3996951219512195
